iter	Passed	Remaining
0	5	511
1	8	437
2	12	415
3	17	409
4	21	399
5	25	392
6	28	382
7	32	372
8	35	362
9	39	353
10	42	343
11	46	342
12	50	336
13	53	329
14	56	321
15	60	315
16	65	319
17	69	315
18	72	311
19	76	306
20	80	301
21	84	299
22	88	295
23	92	291
24	95	286
25	100	284
26	106	288
27	114	293
28	147	362
29	152	356
30	156	349
31	161	344
32	167	339
33	171	332
34	175	325
35	181	322
36	186	317
37	191	312
38	195	305
39	198	297
40	203	292
41	206	285
42	211	280
43	215	274
44	219	268
45	223	262
46	228	257
47	232	252
48	236	246
49	241	241
50	246	236
51	255	236
52	261	231
53	267	227
54	272	223
55	276	217
56	282	212
57	294	213
58	300	208
59	304	203
60	309	197
61	314	192
62	319	187
63	323	181
64	327	176
65	331	170
66	335	165
67	340	160
68	344	154
69	349	149
70	355	145
71	359	139
72	363	134
73	367	129
74	372	124
75	376	118
76	381	114
77	390	110
78	398	105
79	407	101
80	415	97
81	422	92
82	436	89
83	436	89
84	441	78
85	445	73
86	450	68
87	453	62
88	458	57
89	462	51
90	467	46
91	471	41
92	476	36
93	481	31
94	485	25
95	489	20
96	493	15
97	498	10
98	502	5
99	506	0
